produto_id,codigo_barras,descricao,preco,preco_promocional,preco_original,disponivel,em_oferta,unidade_sigla,imagem,sku,codigo_erp,classificacao_mercadologica_id
4537,7891132082322,Refresco Mid 20g Laranja,0.99,,0.99,True,False,UN,3a14d52b-078c-4066-886d-7f464e40138b.jpg,FF-011B9,128352,188
4542,7891132082308,Refresco Mid 20g Jabuticaba,0.99,,0.99,True,False,UN,8b60616d-8e79-47d2-80d7-db4c7ca545fa.jpg,FF-011BE,128359,188
4535,7891132082407,Refresco Mid 20g Abacaxi,0.99,,0.99,True,False,UN,f6b30569-1de6-4ca7-8778-86b4637af7ee.jpg,FF-011B7,128350,188
4540,7891132082445,Refresco Mid 20g Tangerina,0.99,,0.99,True,False,UN,786648af-3786-4303-82fb-3927cd4ea980.jpg,FF-011BC,128355,188
4539,7891132082483,Refresco Mid 20g Manga,0.99,,0.99,True,False,UN,ceb939ee-9d0b-4a1d-b588-ff384c0280b8.jpg,FF-011BB,128354,188
4538,7891132082223,Refresco Mid 20g Limao,0.99,,0.99,True,False,UN,5191de38-efc4-4364-a65f-397b4768eebc.jpg,FF-011BA,128353,188
4543,7898970624035,Arroz Pagliarin 5kg Tp1,21.90,,21.90,False,False,UN,ab6fbb01-fe3c-4a0d-8b1d-b42f1bca2d47.jpg,FF-011BF,128365,35
4541,7891132082346,Refresco Mid 20g Uva,0.99,,0.99,True,False,UN,f28f9b1d-2417-4f9c-9261-7f79527bd677.jpg,FF-011BD,128356,188
4547,7898701300047,Polvilho Casa De Mae 500g Doce,8.79,,8.79,True,False,UN,f2f981d2-d117-495b-bd48-ecf416b45829.jpg,FF-011C3,128378,184
4545,7898701300030,Tapioca Casa De Mae 1kg Hidrat,13.99,,13.99,True,False,UN,68e17c51-15ca-40b9-845d-375d7d44b918.jpg,FF-011C1,128376,102
4548,7898701300054,Polvilho Casa De Mae 500g Azed,8.99,,8.99,True,False,UN,6965f5c8-8aaf-4fb7-af06-b595d67a1207.jpg,FF-011C4,128379,184
4552,128389,Bisc. Sequilhos Panco 350g,12.99,,12.99,True,False,UN,4bb85aa2-0822-45a4-a3db-b93dc836e6ed.jpg,FF-011C8,128389,52
4546,128377,Tapioca Casa De Mae 500g Hidra,7.99,,7.99,True,False,UN,9e3de46a-87ea-4c10-b68c-88cfe773665e.jpg,FF-011C2,128377,102
4550,7891203063465,Bisc. Rosquinha Panco 350g Coc,8.99,,8.99,True,False,UN,a8f5ae2a-dda3-4ae8-aa09-7d5dc5619c09.jpg,FF-011C6,128387,191
4551,128388,Bisc. Rosquinha Panco 350g Lei,10.99,,10.99,True,False,UN,0577ccc8-40ba-4f5f-9db3-6b3659e8d65f.jpg,FF-011C7,128388,191
4571,7897066797219,Arroz Palmares 1kg Tp1 Risoto,15.99,,15.99,True,False,UN,3ea81279-fbe2-43f9-b5e4-35a200201f07.jpg,FF-011DB,128476,35
4569,7898923217031,Repositor Guaravita 290ml,1.09,,1.09,True,False,UN,05f22edf-8b05-4d86-b390-c31cb3fff2b5.jpg,FF-011D9,128474,206
4574,7896004400563,Coco Ralado Mais Coco 1kg,50.99,,50.99,True,False,UN,079f884c-23db-4a00-b75d-19c66eb33a9f.jpg,FF-011DE,128496,85
4570,7897066797110,Arroz Palmares 1kg Tp1 Subaras,16.99,,16.99,True,False,UN,03d0f364-437d-4668-9337-73964d3ecdca.jpg,FF-011DA,128475,35
4572,9002490247379,Repositor Red Bull 250ml Summe,9.99,,9.99,True,False,UN,2491279e-04cb-48e6-8e6e-fdc4fcd1e624.jpg,FF-011DC,128492,95
4575,7896004400389,Coco Ralado Sococo 1kg,72.99,,72.99,True,False,UN,96546c13-d08c-404d-af02-4fb57e760747.jpg,FF-011DF,128497,85
4573,7896004401782,Leite Coco Mais Coco 1l,29.89,,29.89,True,False,UN,4d7a6fd0-a03f-48d7-a019-2cd2342f9aec.jpg,FF-011DD,128495,134
4582,7891150078611,Maionese Hellmann S 800g Doy P,20.98,20.98,21.90,True,True,UN,4f8d01b6-8427-40a9-a375-5a68dd931ae2.jpg,FF-011E6,129218,145
4577,7896327513094,"Creme De Cebola Apti 1,01kg",29.90,,29.90,True,False,UN,53057302-9b27-4731-b961-c5eccfcb6fb0.jpg,FF-011E1,128520,204
4583,7896004401768,Coco Ralado Sococo 1kg Sweet,65.99,,65.99,True,False,UN,ab543cdc-5a9f-48d7-8b10-fc0d8b56e935.jpg,FF-011E7,129239,85
4580,7891150077263,"Sorvete Kibon 1,5l Crem. Choco",19.99,19.99,29.90,True,True,UN,fb57ae1b-5c4c-493a-a9c9-c9c225497c33.jpg,FF-011E4,129129,205
4587,7896452112001,Espumante Casa Perini 750ml Br,59.90,,59.90,True,False,UN,fae33856-4a91-46eb-9f1a-c5189ec37b21.jpg,FF-011EB,129252,101
4588,7896056402737,Desinf. Urca 5l Pinho,19.65,,19.65,True,False,UN,dc932db0-d81f-47d2-8f9a-d8318088016f.jpg,FF-011EC,129255,86
4592,7896185830104,Cafe Po Favorito 100g,9.90,,9.90,True,False,UN,d5e5fea0-7325-4eb6-95fc-02cd9b533dd1.jpg,FF-011F0,129264,57
4589,7896056402768,Amac. Roupa Urca 5l Floral/ros,14.70,,14.70,True,False,UN,677daf03-99fd-4d15-802b-e87086894f36.jpg,FF-011ED,129259,33
4591,7896056405349,Lava Roupa Liq. Urca 5l Verde,24.90,,24.90,True,False,UN,f7bf822b-d414-4704-88cb-701cc5867fb8.jpg,FF-011EF,129261,192
4597,7891150073470,Secador Abrilhantador Cif 100m,25.55,,25.55,True,False,UN,b98420a5-8b39-4162-9285-c9dc6ea62d7d.jpg,FF-011F5,129435,90
4594,7898422745301,Creme Pent. Seda 300ml Pretos,18.99,,18.99,True,False,UN,b53f812f-2994-44f0-bfeb-3f0314d57bea.jpg,FF-011F2,129417,82
